stockname,datetime,news,link
COHANCE,2026-05-12 19:07 IST,Cohance Lifesciences Q4 net profit tanks 84%; sees recovery from FY27 second half - CNBC TV18,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPRTZJQVJnZWVnNmxDbkZROEgxa3BJbmdsRld6VmhzeUJmdGM4Z013RUpXYU9zR2JwU3BHRkVFb21MS2JzdDdBQndLUjl1QVJISHpjTktMelJpZmEtNUFxTzZYV21uN0R1clZUY3ZlaGIwc1ZBUllhTWRxdk5KSWVvMTA0ell3UVotendJQVVfZTJLS2RNU192X0JDQjlkYUo2S3BxaUF3eEYxeDNtU1ljdmRnSHhiNWdvbUUtTjAxODhUb2lGU2NXb2w5Y0U5TUhJd3k1azBTckViOFVHRkYw0gHkAUFVX3lxTE9qUjN3T2lwS1hwY2RIQ3Bjb2w1SEFxYy1kLVAxMzJqUWhNejFVYzJRTEpRSDlCNTZOQnA2RWdKU1hXd25JclpjZDctX2lYX01MbERNN3h0RHZQb2x1VG1qTVhTbWxjU3dxMGM2ZGFSaUZKZnhtYmQ5QU1tdnpnN3gzWDNoUU5fNkFxMVJHOHdxYzZjRThFQVE3bzBOZDVIMzVVejc5ME5EeGVTaWdwRnVnNUN6cHlNUTZaQU45ekhPd2M1TC1JcUlFdERyUTBVOUNVSk9ja0VfR3hsNmZkVWJ3QnQtVA?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-12 17:59 IST,Cohance Lifesciences FY26 Financial Performance and Strategic Roadmap - InvestyWise,https://news.google.com/rss/articles/CBMihgFBVV95cUxPbDVGZG9PQW9lTjBOQmhhemg1Um1KMWVXSEYwWFZCc2xrdHhCd3AwRTZkMmFyYUZMdWpQanhkdV9iTmpzdDV4Z1dYbXFmR0o1LXpwTGY4Njh3MlpYZUg5Ukx0XzJEdjRZaDByWEtuWUd0bnNINHFWaG9pdnVSd1JWc1hrMGpiQQ?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-10 18:03 IST,Cohance Lifesciences - 10 smallcap stocks soaring up to 116% in FY27. Do you own them? - The Economic Times,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPLUVvallrSXVEZEtvZVR1OE9VU3NBVnE4MWI5Vllfb2JPOTZvZHdYMnhvc1lHbWkycTBKUEwzZUttMjZST09yUjFyNUxmTTBkRWs4SDAyX3g4bEZwTVNzSkc5S0VXejcteXRKaEdGU01JUnVpMzBzdlFKNFFNUENQd3ZuX2JmR0M3NzBLNHRHOHI4S2pOVE5mVzdIS09CbFVIaHo5Rm5WMkF0cURGSGlaTEJuZDY4RGpvX2Q2N01hVDFnc0Ywb1IwMUVpdFUyZjBCQ1FNbGp6MmVobW51akZZN2ZQb0psN3BY?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-09 04:51 IST,COHANCE LIFESCIENCES Share 🔥✅ | COHANCE LIFESCIENCES Share Latest News Today (NEYp9LZrbY) - fathomjournal.org,https://news.google.com/rss/articles/CBMidkFVX3lxTE1yZDV6c2sxTkZFLXIwSGk4clpUaHdLQXUzSlp2cnJZOUJMdFEzM0pGLVdVX005ZUNWSElLcGNabjJPZUVyRzNJOHJNUGZDVUZLSnhFckIxYkdKZ0pHNUY2U25vMTd5S3NmbDk2NEpVa1dUcTBQNHc?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-08 19:41 IST,COHANCE Stock 🔴 Cohance Lifesciences Ltd Stock 🔴 COHANCE Share 🔴 Cohance Lifesciences Ltd Share News (UDOaC0Ki98) - fathomjournal.org,https://news.google.com/rss/articles/CBMicEFVX3lxTE5HRmNmUy1qZF9YVVUxNEUzb2hRaHU4dWpTWWs2YzlKWmZHb2p1QUc2MEE0alRjaFA5YURjbU1WdHdjV0VfMHdwLWhRZi1sTnd6NnhlaVZqdkk2M1ZsWkxLdVJrR1lLZkFTZWtNS29IWHA?oc=5
COHANCE,2026-05-08 08:39 IST,Cohance Lifesciences Ltd Technical Momentum Shifts Amid Mixed Market Signals - Markets Mojo,https://news.google.com/rss/articles/CBMizwFBVV95cUxNV0VYVjJNVmtncW1USy1zZ3Z3ZF9naXMtN1pzUnlKdHd4S2VNYTRIT2l1TFRzZV9ITW5ZUXZGbnFUSnVfd1owcWxjZThVN3VmWk8zRmNqaFVGdlhrelhpbUtoZnNJUkZPa0ZGeW05dW5WakNRNXdhNlB4X0swMEM1Yndwck5hOTEtZHN3TWhCQko0aGpfUzBSX1oyUGJGVEJnSHVpNjg3aURSQmZ0SnBsM05EaWhQMU1GNkJDQnFfdTNKbTFwa0l5UVNJTy1QdEU?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-07 14:20 IST,"Cohance Lifesciences - MFs, retail investors keep buying these stocks for two straight quarters; many fall over 25% - The Economic Times",https://news.google.com/rss/articles/CBMijwJBVV95cUxPNXVmS1Z5T3o5VWJDR2xRSzFwaXEtUmpqd3FMVEJ0UnVHb3c0emEteTlMaEJRcnhRMlR5bUhCY1dvTHhZN2ZDTnhxRW80cm9rM0hrdlZ3b1JydjdvbmRVWEE2WE5NVGlmeUhZS0RQLVdkZjFuWndGRXRfNTNUY3VySzZMY3FKQlZCMlJUOWVTcUhjNzc5WnN3aS1iZFVTUUtYZTZWSmg2WkpreXdRSHYydE1PMlo0QktoeHpuN3RlS0ZtSjV0WU16WlRNUGJHS1BST3h5RVA2c1BJRUtaQjNlOU9ROHRPRFV3N3VaaXdXYjl3V21md21uY0lqaWVDSHlJTjRtbjNTRkNaaDRHdUs4?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-07 08:29 IST,"Cohance Lifesciences Schedules Q4 & FY26 Results Conference Call for May 12, 2026 - scanx.trade",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQWXJVblFqTnYyazlyb3ZXaE5LQzhDVzFIcGN4ZU5GYlZUZ0hTNDgyLVpvOFNyVVN0UnpHV2tHaTRtdVloVk9WRE5NRmVZbV9CT0huSGZRTFZEelY1RXVzdllCM09xeDZyTkZJNE5DNDBYY2RtZUMyM2J0a0dtRjlhcnV2TVVSSG56cGo0ZW4yMHRmS3FMZTJ1ZUNpaDYyTGFfNFQyUGRJd21SMmlhS3k1dXpwc3VaUFN6UU5ieUdJQzZaNTh3eUZlX3laWGFvWmJE?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-07 02:07 IST,"Dynacons Systems, Cohance Life shares: Strategy after 50-60% rally | Daily calls on BTTV - MSN",https://news.google.com/rss/articles/CBMijgNBVV95cUxOcjZ0Q2ZXQXJUSmhmYlM3OFBud0t3TjJYeXl0eUFiU3Q2WFJEVWx2LVVjTkVRU3lNUWZiSzVjVW93UktvMzFNUEZUemhLbkdSVVZnYzJOS1RValh0ek8wSDRVdEhnV2RzaGVtZXJjZFN6b0s5TFE1UmhVUkRhWHByWEtZTzQtTzJDLTVFVzNsSFFpdEQ5VEloaGcwWjcxSV9xUmpNWnd3VUxIMWRKdkpFM2k1cWE1VmU0NzZNQm9jSjFwM2MtclplTW1oUy14bTJ5aWt6WmhVTVVtejEtZnZHcTJ4V2FhcDRrel9ZSFlmWV9XMDJhWkJrUEdmdTItNDBjam5uZkNJVTJTZVU5dWo1aW5wWllpbjRSM2hXaHZFb3RUSFRwVDJJM2NNdkRZSjBrei1XQ3owWGg0bE82Vm5rbHV1dE5DSUs0R0MwdmRrdUM1cFBXUHB6R2NPS2I2d2EzZFBHelRIS285ZUpOZkxhamF0UG1OQWdSS3hWbldNMEtYR0p5bmc4VGlHblpHZw?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-06 15:53 IST,Cohance Lifesciences Sets May 12 Earnings Call for Q4 FY26 Results - Whalesbook,https://news.google.com/rss/articles/CBMi8AFBVV95cUxQclpYTmN5cWRxX1JnYnlHZDM4WGt0MC05ZUJ4YlE5M2k5LWs2RlRNWk5lWHU4WVNNR2FzUXAyYjF0RGZRMmVFa3I1X1dNUmUzUng0b1FkV0ZCNXktOTFIWE5XendVMEhHM1dIaHFQVktzUlJlYWJwSmw2OFBBMnV4YXBxTkRTalJCOHpKZF8wVDlCenNpMTZFMC1PYnE2Qk9jRDlCRUxMaFF2Vkk4Y1V5NG9xTHRHYVFVQmppeUwyeXhKbVdib1JGWUU4elZGQzNCN1piY3B2ZE9JRlFwelpfaldsa0VDZ1Y4YXFYRVpIdWY?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-06 15:07 IST,Cohance Lifesciences Board Meeting Scheduled to Approve Annual Financial Results - InvestyWise,https://news.google.com/rss/articles/CBMigwFBVV95cUxQY1E3QmFQdTQ2Tko5YUpiVnp5cm1aemcwWUNKbk1VVXZ4SEN6RmFQaU9CZC1DYlNHU19NVE53bENHdndnN3hUSGFtaTJBRnE5dTMzVEdLNEdZNnZUT1hBVzBHVWUxTzBudEdkQnlsTE83VlBPM1JCU081LVYyOUExSUZZbw?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 12:08 IST,"Stocks making the biggest moves midday: Hindustan Zinc, Berger Paints, Dixon, Texmaco Rail and more - financialexpress.com",https://news.google.com/rss/articles/CBMi3AFBVV95cUxOVnB2X1htdjdIZlJBVmpkYlV1bHEyN255enhqZXJ0NTRfSjB1M1NLVVF2LWFRYUl1cC1SS3NmeWVnWlpUc20zMGNMYzVyaHZTb0l1cHI2Y2I5VXNSUEU3VjdGRVZGTi1jSzdaMlNhVVQ5U2ZXSC1sRDl6QXJyQ2lZZ1lvUlVLRFVMQVRBaFY1cDJZOTVtZlpoUkZvcUFQa2x1QWM0MnIzWVF3TGJiUGNNcEQ4cTlTVjV6Nnc2blphcTRqRGxja25sUm12MzA3aVhjVy1IOG9aZnRtQ2tJ0gHjAUFVX3lxTFBwaEV4UjNud2RyOXZ2WWNvdWlpWjhCcWo4UmJobkVjS01COVBFWjBiNG41amZEVnUtZ3ozNThnZS1qNnVfa2JCQUl3ajhsclF4eWZ2RHQxZ2ZCSEp1WWp1WVo3NHdtUHJYcVFXbDR0eExBVUNaYXNmRTV5OWM2SzNJbkpFU3VJLTVIWW9XZVNmb1ZHanhvX2V4c01mWTBnVUc2eHFram1McWtqQ0RZd1VSQUxFWUhGNmpuVHlZd3BaOEI4ZkFZOEZBUHVBNFlGRHpQdGs5T0lKQnVuNkdGSDdtZzh3?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 11:43 IST,"Texmaco Rail Surges 10% After Securing Rs 4,045-Crore African Rail Order - NDTV Profit",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNR1ByTmx3Y3Y5V1ZTQWZaa1NOZ2xxRzFYLVN6Z1BPTVktU2Y0RTRlUEFkRUV0QW10Yy11Z1BHdXNvQlFsUFA1Tk5RZ0xXN3F0SFpvLUtjQ05EOFo1SURWN01ENFpfak5uSi1hQjJNRjJhSy1HQXFQbDhZNHAyeFJiRG16Qm1keDhTX2ZFRENUdlVBSUZOMVU2bVl1QTlyaEhDZmxSOFZzRVF1SXZhclFpU2FucUloRW5LS1FQUXY4Z1jSAcgBQVVfeXFMTldmcHc3UFdBTm5FR1pwSzJzWVBNVTBzdHVQaDhZbGFmUHBheklySDZwbGhQMmNuU0NUU3pZellWUlZQQWpkNUh1M2pPWk9kQ3NPb0ZKclVxZlF6RHV4ZlJEMDhHR0VtVUtKSXZRV1k5dTdMZllMSm1sUDN4bjZKZDQ2ci1rb19FTFpZOWoxV1B1WDlyNk93LUQ2SG1icWZSQ2hLU3RRSlJISDh4MERUOE9MZ2hFV0lsazRqaURsMk5JT2dRdWFtckU?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 11:29 IST,Texmaco Rail secures South African contract - Construction Week India,https://news.google.com/rss/articles/CBMijwFBVV95cUxNVlp3Uk5sSnpnaUxCUHRTdDg3N0Z0OG15WG9JSExiUDZUR21fQ0FLWllUbnpUaUxsbHhNYWg2a3VLcHFpeDBnRWVOZGpOeHp3bExaSjM0bFU4cElEVHV5ZnYzS1lrVDJjTElpaU41OTlmMzFnbkRXWldwQ01DY3h6NThGMXc3VEVMT1NPLVZ4OA?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 11:10 IST,Texmaco Rail shares: Why this railway stock rallied 14% today; what MD says - MSN,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQeFNYTm9rdXh1a01hblo3V0p1NXVDTnUxNlJqTVlTaUhLRHlBUDJUUnR3V1d4TTQ3bWJwYktzZ0RNV3NLT01iQmdGZ1hGLTFKV2dmRE5BWVRpLUx0MkM3R3NiNlczOHNhSGNJUU5laW53d1U1VUg1akNxSmpnYi1GSmIzbjl5ZWtUdzRfQmZ2N09kbHVvRlVsVGFJRTZfWFo0TmpqYjB5a2k2d2xodnJRc1pIaVBPd09zajJxNDllY0dCTVRJdE9QeWpiQ29sb0FzbThIRWRUOEJQZjZkWDlud1d0TjlQQTNF?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 10:13 IST,"Texmaco Rail & Engineering shares zoom 13% on strong Q4 show, order win worth Rs 4,045 crore - The Economic Times",https://news.google.com/rss/articles/CBMi8wFBVV95cUxNYUdfcGkxSmZGdUhBamtTZTE5OEJMWi0xbmpRODF2WVdzMDhTQ0c2NlZ2QzZhc1pTMmRBcF9aS2Q4blp2d21kUC1XTDFkeGlZTHFtb2ZnaHF3S3ctMXl0WHRUeWJBdjJIUWQ1RVJGUGtnZzhKT0EteEFDLW5GSjY1Wl9qUDhwaGEzNGx0VnBoTGRILXBSd2FWUzdxdk9KRzhOemEzdm5TbHdHZVNFa0RyYVlCS01JMXcxWEY2dThRbVIwcUlXbnhlVmtSYy0yR1BXZll6VTRqTG8wUE94eXdVUHJ0ckJJUDNEQXQtdFVlNUtjOTjSAfgBQVVfeXFMT3pWVmZEbzd4bGFzcWxoZ2JUU3NPQi1EOVVVcDFiRERXNVRkM1JVYU9sN2NxaTZ2RC1GZUZyLVRzVEdsLS13R0IzZHBpeTcxSnZkdS10ODJ2c1h0akZfQVFoa1EwdFVJTmFrSVEyMG5UTC16TzhyN2s3VFExYWpvZFVpQlN6TXZueTg2UURSV2xTYURJdlpHMUJQckMtcnpQR3QyNlI2Wktwem9UYlFGd0xIT28wZE8xbVZvME1MTEJlVDhZUTF5Y1lkT29aVFRMUHBYVURIQzZiQnpicnFDbTBmeTlCVDlvcWw4LVFmMFRaQ1BNeGs4alk?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 09:54 IST,"Buzzing Stocks: Texmaco Rail, IIFL Finance Gain on earnings, fundraising plans; KEI Industries slips after... - Moneycontrol.com",https://news.google.com/rss/articles/CBMihgJBVV95cUxPNWh6OUxCYnNHME5yWDFjMkpKN0puU2Fid01oWVU5RlVwWmF1Z21iRVB2bU5XWXFrSDJzZEpQNVdNeW5ud0x1TE8zMVRNdEZtaHZDMk5talo0UnVGY0VLOVVRNmI2N09tZGx2aWc1WjE1ZUljY2xqUTJkYml3ektIREZZeUFSYUlIUlZBalV6MEU4Z3VaeDRERVJ2RFFaT0FVVC1sTE5sT1NBVjlQMmdyN0llTDVXNXVCWlE2a2hJcHAyNTB6Y1Uzal84TFBudHV2d0dkM3VsaEkyYng3Zm50d0pKMDJVT290NXRmYlhzdXp5dm5DZTNYalVRVDJORmtMTlhhYjl30gGLAkFVX3lxTFBBeF95YVJXR3lSR1ZZZ2M2cG5sakJMRWRqclAtR3VtWUpqZDhLYmVfV1VMcWJIMHNZOEpyem5fa3Flc05ndTNlTGRzemo1X0M2dmhLQ0ljLWF2T2FxT1dMMFRCdVdwcWhJa0FycGRRbTZXVVVYbl81VEYtQTdCeWJvTnFrY0R5bDJMSXY1VWppV3lCVDRsUFk4Tmx1cUM1M2MxbUZEWmM0WGZjWWZ6czRvR0F0MFVXUTJMOFVGRXFKdGVoeVhjXzhDRUlLemYwVVVoZFJRWkN6dnRhQzJpZjk3TkxrZWhUTW9RM3ZsOV82clRXTFZsQV9uWFpvcXo3blJSb1NTOXJ0ckUwcw?oc=5&hl=en-US&gl=US&ceid=US:en
TEXRAIL,2026-05-13 09:42 IST,"Texmaco Rail & Engineering shares jump 12% on securing ₹4,045 crore order - Upstox",https://news.google.com/rss/articles/CBMizAFBVV95cUxPd19rNi1qTGtza3R0M0dPdmxoOElQWFBfUlRQWlpIMnNqMS1xTUk4M082V29SR0gwY1MxSElpVVhQemhFWG1fdTRSdXVJeXlCUDl5LV9vVGZpbWJvdHppMWpTSFpDMVFyU1ZKQ0hrR3Z0bDFOOTZhSUllLVBReHJnblo5TmVlYnhEUF8xdWctN3o3TkMxMGs5TjdsckVHcU5iQVhLQWI2NHJjYzVXWVE3cm5henp6YXVIUkQ1ZW1Tc1FPM0dMOTV2MjI2VVA?oc=5&hl=en-US&gl=US&ceid=US:en
